,Review,date,Location,Language,positive_score,negative_score,polarity_score
16,"['rooms', 'clean', 'updated', 'beds', 'comfortable', 'read', 'read', 'less']",2019-08-19,,en,2,0,2
17,"['staff', 'exceptionally', 'helpful', 'property', 'wasclose', 'dining', 'shopping', 'ad', 'well', 'dineyland', 'had', 'bery', 'restful', 'stay', 'abd', 'look', 'forward', 'staying', 'in', 'the', 'future', 'read', 'read', 'less']",2019-08-19,,en,4,0,4
18,"['great', 'what', 'needed', 'place', 'sleep', 'parking', '20', 'day', 'isn', 'too', 'bad', 'area', 'were', 'floor', 'the', 'pool', 'was', 'located', 'so', 'was', 'constant', 'flow', 'loud', 'people', 'storming', 'the', 'hallway', 'poorly', 'set', 'since', 'that', 'is', 'the', 'only', 'way', 'the', 'pool', 'probably', 'put', 'us', 'since', 'used', 'third', 'party', 'booking', 'site', 'read', 'read', 'less']",2019-08-19,,en,1,3,-2
19,"['rooms', 'clean', 'had', 'two', 'room', 'able', 'get', 'right', 'across', 'each', 'location', 'very', 'close', 'john', 'wayne', 'airport', 'only', '12', 'mile', 'disneyland', 'were', '15', 'mins', 'in', 'a', 'car', 'ride', 'shuttle', 'servise', 'nearby', 'restaurants', 'were', 'available', 'convenient', 'also', 'the', 'airport', 'read', 'read', 'less']",2019-08-19,,en,4,0,4
20,"['little', 'the', 'beaten', 'path', 'ultimately', 'places', 'at', 'reasonably', 'central', 'location', 'buena', 'vista', 'everything', 'clean', 'functional', 'covered', 'parking', 'garage', 'access', 'roomy', 'good', 'beds', 'friendly', 'staff', 'tho', 't', 'time', 'sample', 'amenities', 'did', 'have', 'special', 'requests', 'concerns', 'read', 'read', 'less']",2019-08-18,,en,5,1,4
21,"['room', 'tiny', 'building', 'old', 'worn', 'inside', 'needs', 'updating', 'walls', 'thin', 'bathroom', 'needs', 'updating', 'flooring', 'worn', 'ripping', 'staff', 't', 'friendliest', 'plan', 'walking', '25', 'minutes', 'time', 'square', 'security', 'the', 'good', 'thing', 'this', 'hotel', 'prepared', 'add', 'fees', 'you', 'purchase', 'expedia', 'call', 'resort', 'fees', 'i', 'no', 'idea', 's', 'a', 'resort', 'read', 'read', 'less']",2019-08-18,,en,1,2,-1
22,"['awesome', 'location', 'easy', 'access', 'sights', 'subway', 'read', 'read', 'less']",2019-08-18,,en,2,0,2
23,"['基本的に問題なしでした', '清潔で防音も普通な方で', '水回りも清潔でシャワーの水圧も問題なしです', 'ただ', '歯ブラシやスリッパ', 'バスローブなどはありません', 'シャンプー', '石鹸', 'ズボンプレッサー', '冷蔵庫などはありました', 'read', 'read', 'less']",2019-08-18,,ja,0,0,0
24,"['room', 'not', 'seem', 'clean', 'sort', 'orange', 'sticky', 'glop', 'bathroom', 'counter', 'the', 'travel', 'size', 'lotion', 'provided', 'was', 'already', 'empty', 'liked', 'you', 'could', 'text', 'the', 'valet', 'they', 'your', 'car', 'waiting', 'read', 'read', 'less']",2019-08-18,Jacksonville,en,2,1,1
25,"['great', 'location', 'friendly', 'staff', 'room', 'enough', 'space', 'read', 'read', 'less']",2019-08-18,,en,3,0,3
26,"['real', 'nice', 'love', 'go', 'back', 'soon', 'will', 'recommend', 'family', 'friends', 'read', 'read', 'less']",2019-08-17,,en,3,0,3
27,"['beautiful', 'hotel', 'friendly', 'helpful', 'staff', 'walking', 'distance', 'light', 'rail', 'uneasy', 'homeless', 'encampment', 'empty', 'lot', 'behind', 'the', 'hotel', 'the', 'way', 'the', 'light', 'rail', 'read', 'read', 'less']",2019-08-17,,en,3,3,0
28,"['beautiful', 'art', 'deco', 'building', 'foyer', 'very', 'ornate', 'stylish', 'read', 'read', 'less']",2019-08-17,,en,2,0,2
29,"['en', 'general', 'excelente', 'fantástica', 'situación', 'dos', 'pegas', 'importantes', 'para', 'mí', '25', 'dolares', 'por', 'guardar', 'mis', 'maletas', '3', 'horas', 'en', 'la', 'salida', 'habia', 'nevera', 'ni', 'calentador', 'de', 'agua', 'en', 'la', 'habitación', 'los', 'solicite', 'me', 'ofrecieron', 'ponerlos', 'con', 'cargo', 'read', 'read', 'less']",2019-08-17,España,es,0,0,0
30,"['really', 'close', 'job', 'interview', 'nice', 'morning', 'breakfast', 'location', 'across', 'street', 'has', 'affiliation', 'the', 'hotel', 'nice', 'guests', 'read', 'read', 'less']",2019-08-17,,en,2,0,2
31,"['les', 'chambres', 'familiales', 'sont', 'pratiques', 'nous', 'étions', '7', 'et', 'c', 'est', 'agréable', 'être', 'tous', 'ensemble', 'cependant', 'le', 'personnel', 'est', 'exécrable', 'l', 'individu', 'à', 'l', 'accueil', 'est', 'permis', 'de', 'dire', 'à', 'mon', 'mari', 'qu', 'il', 'était', 'trop', 'lent', 'lors', 'de', 'l', 'enregistrement', 'c', 'est', 'inacceptable', 'de', 'plus', 'la', 'climatisation', 'est', 'extrêmement', 'bruyante', 'plusieurs', 'entre', 'nous', 'ont', 'eu', 'beaucoup', 'de', 'difficulté', 'à', 'dormir', 'read', 'read', 'less']",2019-08-17,Montréal,fr,0,1,-1
32,"['rooms', 'dirty', 'aged', 'breakfast', 'of', 'poor', 'quality', 'limited', 'choices', 'read', 'read', 'less']",2019-08-17,,en,0,3,-3
33,[],2019-08-17,"Grand Cayman, Cayman Islands",UnKnown,0,0,0
34,"['have', 'stayed', '5', 'nights', 'great', 'service', 'affordable', 'price', 'read', 'read', 'less']",2019-08-17,,en,2,0,2
35,"['staff', 'excellent', 'always', 'first', 'choice', 'look', 'stay', 'orlando', 'stayed', 'every', 'year', 'past', '8', 'years', 'is', 'perfectly', 'situated', 'international', 'dr', 'the', 'grounds', 'beautiful', 'always', 'feel', 'safe', 'i', 'would', 'rate', 'this', 'property', '10', 'of', '10', 'jennifer', 'the', 'front', 'desk', 'very', 'friendly', 'helpful', 'i', 'will', 'back', 'next', 'year', 'read', 'read', 'less']",2019-08-17,,en,6,0,6
36,"['was', 'fine', 'sink', 'needed', 'be', 'wiped', 'stains', 'comforter', 'read', 'read', 'less']",2019-08-16,,en,1,2,-1
37,"['a', 'great', 'place', 'room', 'ants', 'that', 'comes', 'outside', 'doors', 'lobby', 'service', 'great', 'though', 'read', 'read', 'less']",2019-08-16,,en,2,0,2
38,"['enjoyed', 'stay', 'staff', 'welcoming', 'friendly', 'chose', 'location', 'weekend', 'my', 'friends', 'booking', 'room', 'requested', 'rollaway', 'bed', 'called', 'front', 'desk', 'the', 'extra', 'bed', 'i', 'requested', 'was', 'explained', 'me', 'since', 'have', 'two', 'beds', 'could', 'accommodate', 'us', 'a', 'rollaway', 'give', 'an', 'option', 'booking', 'not', 'available', 'the', 'stay', 'overall', 'was', 'a', 'nice', 'experience', 'read', 'read', 'less']",2019-08-16,La quinta,en,4,0,4
39,"['well', 'kept', 'but', 'was', 'complimentary', 'breakfast', 'read', 'read', 'less']",2019-08-15,Seattle,en,2,0,2
40,"['location', 'around', 'transportation', 'system', 'near', 'main', 'attraction', 'within', 'city', 'good', 'friendly', 'staff', 'visit', 'clean', 'rooms', 'read', 'read', 'less']",2019-08-15,,en,4,0,4
41,"['propreté', 'impeccable', 'chambre', 'refaite', 'tous', 'les', 'jours', 'read', 'read', 'less']",2019-08-15,savasse France,fr,1,0,1
42,"['good', 'value', 'enjoyed', '4', 'day', 'stay', 'bicely', 'appointed', 'room', 'read', 'read', 'less']",2019-08-15,,en,2,0,2
43,"['rooms', 'clean', 'i', 'love', 'make', 'breakfast', 'sandwiches', '2', '6', '00', 'read', 'read', 'less']",2019-08-15,,en,2,0,2
44,"['sent', 'parents', 'an', 'anniversary', 'trip', 'wanted', 'stay', 'local', 'wanted', 'get', 'away', 'heat', 'riverside', 'stayed', 'two', 'days', 'said', 'property', 'secluded', 'clean', 'they', 'felt', 'safe', 'this', 'area', 'hotel', 'clean', 'comfortable', 'they', 'nice', 'view', 'staff', 'friendly', 'found', 'reservation', 'no', 'issues', 'downside', 'they', 'had', 'pay', '20', 'per', 'day', 'parking', 'the', 'parking', 'private', 'they', 'worry', 'their', 'car', 'broken', 'so', 'that', 'was', 'a', 'plus', 'it', 'was', 'an', 'extra', 'cost', 'didn', 't', 'expect', 'great', 'location', 'for', 'site', 'seeing', 'read', 'read', 'less']",2019-08-15,Riverside,en,7,4,3
45,"['beautiful', 'clean', 'friendly', 'staff', 'variety', 'activities', 'adults', 'children', 'would', 'definitely', 'choose', 'stay', 'again', 'read', 'read', 'less']",2019-08-14,"Champaign, IL",en,4,0,4
46,"['property', 'advertised', 'being', 'renovated', 'four', 'floors', 'renovated', 'renovation', 'means', 'basically', 'new', 'bedding', 'were', 'stains', 'the', 'ceiling', 'leaking', 'shower', 'toilet', 'didn', 'work', 'peeling', 'paint', 'unpleasant', 'manager', 'we', 'asked', 'change', 'room', 'seemed', 'think', 'a', 'non', 'working', 'toilet', 't', 'an', 'issue', 'would', 'recommend', 'ever', 'stay', 'this', 'property', 'it', 'very', 'disappointing', 'read', 'read', 'less']",2019-08-14,Pennsylvania,en,2,5,-3
47,"['vétuste', 'mérite', 'un', 'sacré', 'rafraîchissement', 'emplacement', 'idéal', 'read', 'read', 'less']",2019-08-14,Toulon,fr,0,0,0
48,"['loved', 'price', 'location', 'the', 'parks', 'the', 'shuttle', 'read', 'read', 'less']",2019-08-14,,en,1,0,1
49,"['el', 'aire', 'acondicionado', 'goteaba', 'la', 'alfombra', 'estaba', 'empapada', 'con', 'humedad', 'read', 'read', 'less']",2019-08-14,,es,0,0,0
50,"['l', 'unica', 'cosa', 'accettabile', 'è', 'stata', 'la', 'cortesia', 'ricevuta', 'al', 'check', 'tutto', 'il', 'resto', 'da', 'cancellare', 'camera', 'vecchia', 'male', 'insonorizzata', 'mobili', 'vecchi', 'e', 'maltenuti', 'illuminazione', 'fatta', 'malissimo', 'e', 'nonostante', 'tutto', 'abbiamo', 'faticato', 'farcela', 'assegnare', 'la', 'prima', 'camera', 'che', 'abbiamo', 'ricevuto', 'è', 'al', 'piano', 'della', 'strada', 'con', 'parcheggi', '50', 'metri', 'questa', 'camera', 'è', 'maleodorante', 'di', 'con', 'mobili', 'vecchi', 'e', 'scrostati', 'guardate', 'attentamente', 'le', 'condizioni', 'perché', 'compaiono', '25', 'giorno', 'per', 'servizi', 'che', 'dicono', 'di', 'offrire', 'come', 'ad', 'esempio', 'la', 'navetta', 'per', 'parchi', 'non', 'è', 'così', 'le', 'navette', 'non', 'servono', 'parchi', 'degli', 'universal', 'studios', 'e', 'non', 'servono', 'l', 'aeroporto', 'quindi', 'l', 'unico', 'modo', 'per', 'spostarsi', 'è', 'il', 'taxi', 'peraltro', 'abbastanza', 'costoso', 'una', 'mattina', 'si', 'sono', 'inventati', 'un', 'aumento', 'di', '11', 'tasse', 'e', 'mancia', 'al', '18', 'persona', 'perché', 'ospitavano', 'alcuni', 'osceni', 'personaggi', 'disney', 'eravamo', 'stati', 'questo', 'hotel', '18', 'anni', 'fa', 'ora', 'non', 'ci', 'mai', 'più', 'read', 'read', 'less']",2019-08-14,Lake Buena Vista - Orlando,it,0,0,0
51,"['liked', 'staff', 'very', 'nice', 'the', 'place', 'very', 'clean', 'will', 'going', 'back', 'very', 'soon', 'the', 'pool', 'very', 'clean', 'you', 'go', 'other', 'pools', 'the', 'resort', 'minutes', 'away', 'magic', 'kingdom', 'read', 'read', 'less']",2019-08-13,,en,5,0,5
52,"['great', 'price', 'lots', 'do', 'clean', 'hospitality', 'great', 'convenient', 'all', 'parks', 'read', 'read', 'less']",2019-08-13,,en,4,0,4
53,"['smooth', 'stay', 'll', 'surely', 'coming', 'back', 'this', 'hotel', 'highly', 'recommended', 'read', 'read', 'less']",2019-08-13,,en,2,0,2
54,"['excellent', 'location', 'great', 'service', 'highly', 'recommended', 'new', 'yorker', 'hotel', 'winham', 'read', 'read', 'less']",2019-08-13,,en,3,0,3
55,"['comodo', 'per', 'la', 'posizione', 'hotel', 'fatiscente', 'camera', 'e', 'bagno', 'troppo', 'piccoli', 'e', 'la', 'quarta', 'stella', 'gliel', 'hanno', 'regalata', 'read', 'read', 'less']",2019-08-13,,it,0,0,0
56,"['rooms', 'terribly', 'small', 'almost', 'claustrophobic', 'ice', 'machine', 'hard', 'find', 'attitude', 'the', 'front', 'desks', 'read', 'read', 'less']",2019-08-13,,en,0,2,-2
57,"['made', 'us', 'pay', 'gym', 'facilities', 'didn', 'use', 'should', 'an', 'optional', 'fee', 'came', 'see', 'new', 'york', 'to', 'work', 'read', 'read', 'less']",2019-08-13,Australia,en,1,0,1
58,"['well', 'you', 'expect', 'to', 'comfy', 'bed', 'clean', 'modern', 'bathroom', 'reasonably', 'well', 'sound', 'insulated', 'rooms', 'good', 'value', 'a', 'great', 'outer', 'borough', 'location', 'unexpectedly', 'nice', 'shops', 'restaurants', 'within', 'walking', 'distance', 'read', 'read', 'less']",2019-08-13,,en,9,1,8
59,"['stayed', 'for', '2', 'nights', 'place', 'walk', 'able', 'disneyland', 'very', 'convenient', 'has', 'underground', 'gated', 'car', 'parking', 'staff', 'very', 'courteous', 'read', 'read', 'less']",2019-08-13,,en,2,0,2
60,"['friendly', 'staff', 'clean', 'property', 'secure', 'parking', 'easy', 'freeway', 'access', 'read', 'read', 'less']",2019-08-13,Las Vegas,en,4,0,4
61,"['todo', 'excelente', 'muy', 'buenas', 'instalaciones', 'excelente', 'servico', 'read', 'read', 'less']",2019-08-12,México,es,0,0,0
62,"['like', 'everything', 'hotel', 'the', 'personal', 'good', 'services', 'read', 'read', 'less']",2019-08-12,Miami,en,2,0,2
63,"['liked', 'everything', 'except', 'smoking', 'the', 'pools', 'ruined', 'outdoor', 'relaxation', 'smelled', 'bad', 'the', 'pools', 'read', 'read', 'less']",2019-08-12,"San Antonio,TX",en,1,3,-2
64,"['love', 'there', 'alot', 'pools', 'in', 'terms', 'choices', 'restaurants', 'it', 'grand', 'hotel', 'very', 'limited', 'good', 'quality', 'alright', 'the', 'high', 'prices', 'paid', 'nothing', 'extravagant', 'read', 'read', 'less']",2019-08-12,Bayonne nj,en,3,2,1
65,"['pool', 'nice', 'the', 'staff', 'rude', 'we', 'could', 'get', 'room', 'clean', 'read', 'read', 'less']",2019-08-12,,en,2,1,1
66,"['pool', 'super', 'dirty', 'jacuzzi', 'water', 'bit', 'yellowish', 'color', 'room', 'clean', 'carpet', 'super', 'dirty', 'carpets', 'needs', 'be', 'deep', 'clean', 'wear', 'socks', 'rooms', 'also', 'tends', 'get', 'stuffy', 'quick', 'worst', 'assistant', 'had', 'horrible', 'service', 'was', 'rude', 'unattentive', 'felt', 'rushed', 'she', 'try', 'give', 'us', 'information', 'hotel', 'except', 'our', 'room', 'at', 'accept', 'strictly', 'debit', 'cards', 'some', 'major', 'credit', 'cards', 'only', '50', '100', 'dollars', 'deposit', 'depending', 'have', 'kids', 'not', 'with', 'you', 'if', 'only', 'the', 'attendant', 'helped', 'was', 'friendly', 'wouldn', 'mind', 'much', 'the', 'flaws', 'in', 'all', 'honesty', 'didn', 't', 'even', 'get', 'a', 'smile', 'her', 'booked', '4', 'rooms', 'not', 'saying', 'all', 'employees', 'like', 'but', 'i', 'can', 'say', 'i', 'never', 'gotten', 'kind', 'acknowledgement', 'any', 'the', 'employees', 'works', 'no', 'one', 'greets', 'read', 'read', 'less']",2019-08-12,,en,10,8,2
67,"['was', 'good', 'experience', 'overall', 'complementary', 'shuttle', 'service', 'helps', 'lot', 'especially', 'airport', 'nearby', 'read', 'read', 'less']",2019-08-12,,en,2,0,2
68,"['everything', 'is', 'really', 'great', 'staff', 'rooms', 'safety', 'quietness', 'cleanliness', 'the', 'rooms', 'lobby', 'adore', 'hotel', 'hope', 'return', 'soon', 'is', 'really', '10', 'star', 'hotel', 'my', 'book', 'read', 'read', 'less']",2019-08-12,,en,3,0,3
69,"['everything', 'great', 'hello', 'staying', 'the', 'heart', 'new', 'york', 'fantastic', 'read', 'read', 'less']",2019-08-12,,en,2,0,2
70,"['cleanliness', 'hotel', 'very', 'good', 'rooms', 'all', 'public', 'areas', 'read', 'read', 'less']",2019-08-12,,en,2,0,2
71,"['lobby', 'looks', 'amazing', 'parking', 'not', 'included', 'your', 'booking', 'you', 'pay', 'to', 'park', 'place', 'you', 'actually', 'visiting', 'staying', 'night', 'booked', 'a', '2', 'double', 'bed', 'room', 'my', 'room', '2', 'full', 'beds', 'instead', 'facility', 'clean', 'outdoors', 'gardens', 'pool', 'very', 'clean', 'room', 't', 'match', 'rest', 'the', 'hotel', 'was', 'definitely', 'expecting', 'i', 't', 'staying', 'this', 'hotel', 'you', 'get', 'for', 'less', 'other', 'hotels', 'around', 'the', 'area', 'read', 'read', 'less']",2019-08-12,,en,3,0,3
72,"['everything', 'great', 'we', 'walked', 'the', 'lobby', 'smelled', 'nice', 'read', 'read', 'less']",2019-08-12,Corinth,en,2,1,1
73,"['complementary', 'breakfast', 'it', 'close', 'everything', 'disney', 'springs', 'was', 'remarkable', 'read', 'read', 'less']",2019-08-12,New Jersey,en,2,0,2
74,"['rooms', 'small', 'rooms', 'king', 'sized', 'bed', 'one', 'side', 'bed', 'up', 'the', 'wall', 'there', 'barely', 'enough', 'room', 'walk', 'the', 'end', 'the', 'bed', 'the', 'desk', 'television', 'the', 'opposite', 'wall', 'rooms', 'double', 'beds', 'offer', 'little', 'room', 'it', 'still', 'cramped', 'however', 'rooms', 'clean', 'natural', 'light', 'floor', 'ceiling', 'windows', 'read', 'read', 'less']",2019-08-12,,en,2,1,1
75,"['very', 'well', 'managed', 'property', 'beating', 'big', 'five', 'star', 'hotels', 'every', 'aspects', 'including', 'staff', 'friendliness', 'cleanness', 'convenience', 'free', 'self', 'parking', 'anaheim', 'close', 'distance', 'convention', 'center', 'disney', 'parks', 'read', 'read', 'less']",2019-08-12,,en,4,0,4
76,"['courteous', 'rooms', 'very', 'nice', 'only', 'issue', 'the', 'business', 'center', 'time', 'the', 'computers', 'at', '15', 'minutes', 'per', 'session', 'that', 'should', 'like', '30', 'minutes', 'read', 'more', 'read', 'less']",2019-08-12,,en,3,1,2
77,"['great', 'location', 'two', 'pools', 'nice', 'staff', 'friendly', 'read', 'read', 'less']",2019-08-12,Venice,en,3,0,3
78,"['place', 'reasonable', 'food', 'dessert', 'breakfast', 'lunch', '30', 'supper', '60', 'noticed', 'several', 'parents', 'waiting', 'pizza', 'delivery', 'charge', 'parking', 'people', 'stuck', 'first', 'night', 'ate', 'beef', 'jerky', 'nuts', 'gift', 'shop', 'stinky', 'fruits', 'over', 'pool', 'areas', 'just', 'tried', 'blow', 'under', 'the', 'bushes', 'stinky', 'needed', 'safe', 'opened', 'took', 'long', 'time', 'get', 'to', 'it', 'of', 'the', 'room', 'clean', 'except', 'mold', 'the', 'shower', 'it', 'rained', 'a', 'lot', 'and', 'there', 'were', 'no', 'inside', 'activities', 'about', 'yoga', 'zumba', 'the', 'rainy', 'season', 'definitely', 't', 'back', 'read', 'read', 'less']",2019-08-11,Chicago,en,3,3,0
79,"['old', 'building', 'seem', 'like', 'used', 'an', 'office', 'building', 'small', 'room', 'ugly', 'shower', 'area', 'super', 'priced', 'lots', 'hidden', 'fees', 'like', 'for', 'extra', '2', 'hours', 'late', 'checkout', 'charge', '50', '00', 'easily', 'can', 'double', 'rate', 'slow', 'elevator', 'change', 'hotel', 'residences', 'inn', 'manhattan', 'compared', 'the', 'new', 'yorker', 'was', '5', 'star', 'also', '6', 'star', 'stay', 'away', 'the', 'new', 'yorker', 'read', 'read', 'less']",2019-08-11,,en,3,2,1
80,"['super', 'convenient', 'location', 'right', 'next', 'penn', 'station', 'read', 'read', 'less']",2019-08-11,"High Springs, FL",en,3,0,3
81,"['reasonable', 'price', 'hotel', 'tiny', 'room', 'ok', 'considering', 's', 'location', 'few', 'minutes', 'penn', 'station', 'walk', 'distance', 'broadway', 'theaters', 'fitness', 'facilities', 'better', 'expected', 'hotel', 'staff', 'not', 'friendly', 'lobby', 'staff', 'especially', 'read', 'read', 'less']",2019-08-11,Tokyo,en,3,0,3
82,"['art', 'deco', 'beauty', 'perfect', 'location', 'helpful', 'friendly', 'staff', 'read', 'read', 'less']",2019-08-11,,en,4,0,4
83,"['location', 'excellent', 'hotel', 'staff', 'friendly', 'helpful', 'although', 'hotel', 'older', 'well', 'kept', 'only', 'thing', 'the', 'water', 'changes', 'temperature', 'showering', 'elevators', 'take', 'while', 'come', 'is', 'understandable', 'though', 'that', 'it', 'is', 'busy', 'hotel', 'read', 'read', 'less']",2019-08-11,,en,5,0,5
84,"['nos', 'encanto', 'tanto', 'el', 'trato', 'recibido', 'en', 'la', 'recepcion', 'como', 'la', 'ayuda', 'del', 'sr', 'sebastian', 'super', 'amable', 'eficiente', 'muchisimas', 'gracias', 'read', 'read', 'less']",2019-08-11,,es,1,0,1
85,"['entire', 'staff', 'so', 'friendly', 'helpful', 'the', 'location', 'perfect', 'read', 'read', 'less']",2019-08-11,Mooresville NC,en,3,0,3
86,"['t', 'like', 'charged', 'parking', 'resort', 'fee', 'read', 'read', 'less']",2019-08-11,Apollo Beach,en,1,0,1
87,"['camera', 'non', 'disponibile', 'e', 'sporca', 'lunghissime', 'code', 'alla', 'reception', 'read', 'read', 'less']",2019-08-11,,it,0,0,0
88,"['overall', 'good', 'deal', 'bad', 'area', 'pool', 'though', 'work', 'room', 'too', 'warm', 'no', 'towels', 'there', 'the', 'breakfast', 'mediocre', 'not', 'enough', 'options', 'read', 'read', 'less']",2019-08-11,,en,4,2,2
89,"['front', 'desk', 'staff', 'manager', 'super', 'friendly', 'accommodating', 'room', 't', 'ready', 'yet', '3pm', 'check', 'time', 'upgraded', 'a', 'king', 'suite', 'extra', 'charge', 'hotel', 'within', 'walking', 'distance', 'disneyland', 'dca', 'room', 'very', 'nice', 'clean', 'well', 'kept', 'newer', 'furnishings', 'linens', 'no', 'stains', 'the', 'carpets', 'the', 'a', 'c', 'excellent', 'etc', 'we', 'would', 'gladly', 'stay', 'again', 'read', 'read', 'less']",2019-08-11,"Fresno, CA",en,9,1,8
90,"['loved', 'swimming', 'pools', 'good', 'location', 'seaworld', 'entertainment', 'read', 'read', 'less']",2019-08-11,Pittsburgh,en,2,0,2
91,"['ok', 'place', 'room', 'decent', 'location', 'great', 'read', 'read', 'less']",2019-08-11,,en,2,0,2
92,"['is', 'pleasant', 'hotel', 'little', 'disappointed', 'go', 'restaurant', 'order', 'take', 'pool', 'side', 'dining', 'bad', 'thing', 'i', 'expect', 'i', 'order', 'the', 'food', 'go', 'back', '10', 'mins', 'later', 'i', 'good', 'a', 'hotel', 'a', 'pool', 'restaurant', 'the', 'photos', 'i', 'do', 'expect', 'little', 'bit', 'service', 'also', 'charged', '100', 'incidental', 'charge', 'was', 'not', 'expected', 'to', 'deducted', 'then', 'to', 'wait', '3', '5', 'days', 'for', 'it', 'to', 'be', 'returned', 'to', 'my', 'account', 'not', 'cool', 'read', 'read', 'less']",2019-08-10,Santa Cruz.,en,3,2,1
93,"['checked', 'at', 'night', 'light', 'switch', 'easy', 'find', 'multiple', 'lights', 'working', 'room', 'read', 'read', 'less']",2019-08-10,,en,1,0,1
94,"['old', 'property', 'good', 'service', 'clean', 'all', 'moments', 'read', 'read', 'less']",2019-08-10,,en,2,0,2
95,"['super', 'todo', 'cerca', 'buen', 'servicio', 'buena', 'comida', 'recomendado', 'read', 'read', 'less']",2019-08-10,Puerto Rico,es,1,0,1
96,"['shower', 'appears', 'have', 'mold', 'ceiling', 'wallpapering', 'peeling', 'wall', 'sheets', 'stained', 'can', 'show', 'pictures', 'wallpaper', 'mold', 'problems', 'required', 'the', 'price', 'would', 'expect', 'cleaner', 'facilities', 'read', 'read', 'less']",2019-08-10,,en,1,1,0
97,"['hotel', 'set', '4', '5', 'yet', 'service', 'low', '1', 'man', 'loby', 'room', 'suits', 'ledt', 'without', 'monitoring', 'room', 'service', 'poor', 'the', 'hotel', 'old', 'maintained', 'poorly', 'read', 'read', 'less']",2019-08-10,,en,0,2,-2
98,"['simplemente', 'espectacular', 'en', 'todo', 'sentido', 'momento', 'read', 'read', 'less']",2019-08-09,,es,0,0,0
